Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
403,Kevin Huerter,SAC,$14508929,$15669643,$16830357,$17991071,,,$65000000,huertke01
404,Harrison Barnes,SAC,$18352273,,,,,,$18352273,barneha02
405,Domantas Sabonis,SAC,$18500000,$19400000,,,,,$37900000,sabondo01
406,De'Aaron Fox,SAC,$30351780,$32600060,$34848340,$37096620,,,$134896800,foxde01
407,Tre Jones,SAS,$1782621,,,,,,,jonestr01
408,Gorgui Dieng,SAS,$1836090,,,,,,$1836090,dienggo01
409,Keita Bates-Diop,SAS,$1878720,,,,,,,bateske01
410,Isaiah Roby,SAS,$1930681,,,,,,$1930681,robyis01
411,Blake Wesley,SAS,$2385480,$2504640,$2624280,$4726328,,,$4890120,weslebl01
412,Malaki Branham,SAS,$2925600,$3071880,$3217920,$4962033,,,$5997480,branhma01
413,Keldon Johnson,SAS,$3873025,$20000000,$19000000,$17500000,$17500000,,$77873025,johnske04
414,Joshua Primo,SAS,$4144320,$4341600,$5982725,,,,$4144320,primojo01
415,Devin Vassell,SAS,$4437000,$5887899,,,,,$4437000,vassede01
416,Jeremy Sochan,SAS,$5063520,$5316960,$5570040,$7096231,,,$10380480,sochaje01
417,Romeo Langford,SAS,$5634257,,,,,,$5634257,langfro01
418,Zach Collins,SAS,$7350000,$7700000,,,,,$7350000,colliza01
419,Jakob Poeltl,SAS,$9398148,,,,,,$9398148,poeltja01
420,Danilo Gallinari,SAS,$16907880,$6802950,,,,,$10428880,gallida01
421,Josh Richardson,SAS,$12196094,,,,,,$12196094,richajo01
422,Doug McDermott,SAS,$13750000,$13750000,,,,,$27500000,mcderdo01
423,Armoni Brooks,TOR,,,,,,,$50000,brookar01
424,Ish Wainright,TOR,,,,,,,$125000,wainris01
425,Dalano Banton,TOR,$1563518,,,,,,,bantoda01
426,Justin Champagnie,TOR,$1637966,$1927896,,,,,$325000,champju01
427,Juancho Hernangómez,TOR,$1836090,,,,,,$1836090,hernaju01
428,Svi Mykhailiuk,TOR,$1878720,,,,,,$1878720,mykhasv01
429,D.J. Wilson,TOR,$2133278,$2413304,,,,,$250000,wilsodj01
430,Malachi Flynn,TOR,$2145720,$3873025,,,,,$2145720,flynnma01
431,Precious Achiuwa,TOR,$2840160,$4379527,,,,,$2840160,achiupr01
432,Otto Porter Jr.,TOR,$6000000,$6300000,,,,,$6000000,porteot01
433,Khem Birch,TOR,$6667500,$6985000,,,,,$13652500,birchkh01
434,Scottie Barnes,TOR,$7644600,$8008680,$10130980,,,,$7644600,barnesc01
435,Thaddeus Young,TOR,$8000000,$8000000,,,,,$9000000,youngth01
436,Chris Boucher,TOR,$12690000,$11750000,$10810000,,,,$35250000,bouchch01
437,OG Anunoby,TOR,$17357143,$18642857,$19928571,,,,$36000000,anunoog01
438,Gary Trent Jr.,TOR,$17505000,$18785000,,,,,$17505000,trentga02
439,Fred VanVleet,TOR,$21250000,$22824074,,,,,$21250000,vanvlfr01
440,Pascal Siakam,TOR,$35448672,$37893408,,,,,$73342080,siakapa01
441,Jared Butler,UTA,$1563518,,,,,,$1563518,butleja02
442,Saben Lee,UTA,$1752638,$1902137,,,,,$1752638,leesa01
443,Udoka Azubuike,UTA,$2174880,$3923484,,,,,$2174880,azubuud01
444,Stanley Johnson,UTA,$2351521,,,,,,$2351521,johnsst04
445,Leandro Bolmaro,UTA,$2471160,$2588400,$4392515,,,,$2471160,bolmale01
